model,token,lr,lambda,n_seeds,val_early_mean,val_early_std,test_early_mean,test_early_std,test_end_mean,test_tpr5_mean,test_leak_mean,best_epoch_mean
layer_mix,mean,0.0003,0.001,3,0.8544484139049356,0.029539429748866444,0.7198118136658034,0.04384409849633552,0.9052423499282582,0.20850611376927167,0.9964912280701754,22.666666666666668
layer_mix,mean,0.001,0.001,3,0.8536930762474241,0.03841642759497601,0.7118041764561288,0.02066805922680084,0.9086491399564405,0.22126528442317916,0.9964912280701754,12
layer_mix,last,0.0001,0.1,3,0.8520891397250092,0.04754111254412872,0.7375584938233495,0.1153809432022015,0.9008086524555114,0.2751727804359383,0.9964912280701754,104.66666666666667
layer_mix,first,0.001,0.001,3,0.8520450956048782,0.0251896951924365,0.7998740089062669,0.04338424353188888,0.9060648362515935,0.2808080808080808,0.9964912280701754,4.666666666666667
layer_mix,first,0.0001,0.001,3,0.8512239029086855,0.031814915468703284,0.7646984845626611,0.04904977084299969,0.8633618585401268,0.19851143009037744,0.9964912280701754,17.666666666666668
layer_mix,first,0.001,0.01,3,0.849892571196919,0.026690228997934284,0.7120936587150508,0.14678439805985422,0.8658844243224549,0.2279638490164806,0.9964912280701754,34
layer_mix,first,0.001,1.0,3,0.8497668997668998,0.04102917053987637,0.7175227086941858,0.0303792715495052,0.8429750818884945,0.16884635832004252,0.9964912280701754,94
layer_mix,first,0.0003,0.001,3,0.848207429647647,0.02988361027129884,0.7381980529688509,0.031241046243620438,0.8666520324924399,0.22902711323763955,0.9964912280701754,7
layer_mix,first,0.001,0.1,3,0.8476411058748015,0.047791955893835676,0.6593118508228865,0.12768130607366696,0.8248890718160666,0.12599681020733652,0.9964912280701754,47
layer_mix,mean,0.0001,0.01,3,0.8475158567278133,0.04596907876875481,0.6695468550816599,0.008834282862394885,0.9017141419857888,0.1794790005316321,0.9964912280701754,21.666666666666668
layer_mix,first,0.0001,0.1,3,0.847005126515996,0.025651030647642514,0.6907744107744107,0.09075885431041361,0.7814283182704235,0.18118022328548644,0.9964912280701754,37.666666666666664
layer_mix,mean,0.001,0.1,3,0.8440419664876186,0.04049469988607493,0.7260212767173718,0.05894937510096845,0.903358885973487,0.23859649122807017,0.9964912280701754,55.333333333333336
layer_mix,mean,0.0003,0.1,3,0.8432588214925172,0.04386541217626035,0.7063088153750293,0.03963194067283527,0.8814012221822068,0.2271132376395534,0.9964912280701754,81.66666666666667
layer_mix,mean,0.0003,0.01,3,0.8395809685483598,0.04782667546684756,0.7265981833044651,0.018522070022586698,0.9132662219249655,0.20372142477405633,0.9964912280701754,14.666666666666666
layer_mix,mean,0.0001,0.001,3,0.839379961825614,0.030790690151235672,0.696305442655188,0.035918243148494,0.9085782556750299,0.20350877192982456,0.9964912280701754,17.666666666666668
layer_mix,last,0.0001,1.0,3,0.8388641008749704,0.060344785530844464,0.7102074508526122,0.13865943949679022,0.8914516986503404,0.23923444976076555,0.9964912280701754,180.66666666666666
layer_mix,first,0.0003,0.1,3,0.8363581677983851,0.03833415492773794,0.6800985520170579,0.10591777606517339,0.7962607398261049,0.15045188729399256,0.9964912280701754,26.333333333333332
layer_mix,first,0.0003,1.0,3,0.8316050555724469,0.02286072053245833,0.6359159220958881,0.13551272080063967,0.7809993540384033,0.1446039340776183,0.9964912280701754,137.33333333333334
layer_mix,last,0.0003,1.0,3,0.8193023673186717,0.08289771419477986,0.6998448548872996,0.1190198097845037,0.8751540304002103,0.20935672514619882,0.9964912280701754,150.33333333333334
layer_mix,first,0.0001,1.0,3,0.8188611448937536,0.011560725112913268,0.5806707710952193,0.19894002268890013,0.7164764795664625,0.10217969165337587,0.9964912280701754,123.66666666666667
layer_mix,mean,0.0003,1.0,3,0.7929437350089523,0.011333560388822024,0.4914949151961036,0.04434247214080872,0.6080036356776594,0.04199893673577884,0.9964912280701754,15.666666666666666
layer_mix,mean,0.001,1.0,3,0.7828742272220532,0.021920062453455735,0.48293620986320474,0.042532241971386865,0.5945560871876662,0.03615098351940457,0.9964912280701754,4.333333333333333
layer_mix,last,0.001,1.0,3,0.7451821095571095,0.08522306384423388,0.6463853018012611,0.09731583619224281,0.7477758913412563,0.11972355130249868,0.9964912280701754,9
layer_mix,mean,0.0001,1.0,3,0.734682020877673,0.06482299769101349,0.45490719303962085,0.07295833329662674,0.5672173918014325,0.02987772461456672,0.9964912280701754,33.666666666666664
