model,eval_time,constraint_type,constraint_value,constraint_met,alpha,realized_fpr_mean,catch_rate_mean,caught_alarm_fraction_mean,effective_alarm_fraction_mean,effective_lead_fraction_mean
residual20_32,by earliest stop,catch_rate_at_least,0.5,True,0.2,0.32743731087539674,0.5585533640963687,0.5191961531265289,0.7090435952461555,0.2909564047538446
residual20_32,by earliest stop,catch_rate_at_least,0.75,False,0.3,0.46604121282221866,0.6874917028539055,0.4427142600542039,0.5934077784205427,0.4065922215794572
residual20_32,fixed horizon 13,realized_fpr_at_most,0.01,False,0.01,0.026745195493921136,0.0659968007868142,0.36245260302744964,0.9588140624831327,0.04118593751686707
residual20_32,fixed horizon 13,realized_fpr_at_most,0.05,True,0.025,0.04236384088950566,0.09479834231324809,0.3556951437361517,0.9380870417610948,0.06191295823890515
residual20_32,fixed horizon 13,realized_fpr_at_most,0.1,True,0.075,0.08630727461184523,0.16173143572920512,0.3108719535227815,0.8877584928315494,0.11224150716845036
residual20_32,fixed horizon 13,catch_rate_at_least,0.25,True,0.15,0.1833561871114748,0.2648582028574233,0.2801499901817426,0.8133426328512303,0.18665736714876952
residual20_32,fixed horizon 13,catch_rate_at_least,0.5,False,0.3,0.4012989236508931,0.4827896150848338,0.2203911241124598,0.6199964809267626,0.3800035190732373
residual20_32,fixed horizon 13,catch_rate_at_least,0.75,False,0.3,0.4012989236508931,0.4827896150848338,0.2203911241124598,0.6199964809267626,0.3800035190732373
residual20_32,fixed horizon 25,realized_fpr_at_most,0.01,False,0.01,0.025108831414960973,0.06768640302662236,0.48626419195518744,0.9590461566675155,0.040953843332484655
residual20_32,fixed horizon 25,realized_fpr_at_most,0.05,True,0.025,0.04335864360231166,0.10464753211575688,0.49282076521944085,0.9350717482356476,0.06492825176435237
residual20_32,fixed horizon 25,realized_fpr_at_most,0.1,True,0.05,0.06764811262013057,0.14159198813768936,0.4636958131516063,0.9090406175383452,0.09095938246165487
residual20_32,fixed horizon 25,catch_rate_at_least,0.25,True,0.15,0.22195685143555396,0.33394248127478937,0.48959333200494964,0.818150725900615,0.18184927409938503
residual20_32,fixed horizon 25,catch_rate_at_least,0.5,True,0.3,0.44795695245795875,0.5778412923613492,0.41998317801424834,0.6462015393320988,0.3537984606679013
residual20_32,fixed horizon 25,catch_rate_at_least,0.75,False,0.3,0.44795695245795875,0.5778412923613492,0.41998317801424834,0.6462015393320988,0.3537984606679013
residual20_32,fixed horizon 37,realized_fpr_at_most,0.01,False,0.01,0.021678514414666446,0.06851182370288937,0.5282363889245817,0.960927305789151,0.03907269421084887
residual20_32,fixed horizon 37,realized_fpr_at_most,0.05,True,0.025,0.0384418619468671,0.11158559449105551,0.5107571263805917,0.9349652655942553,0.06503473440574471
residual20_32,fixed horizon 37,realized_fpr_at_most,0.1,True,0.075,0.08733429068071548,0.21947073047220217,0.5433524440889048,0.8901118068863341,0.10988819311366593
residual20_32,fixed horizon 37,catch_rate_at_least,0.25,True,0.1,0.13036436584819464,0.2821351395628837,0.5432155904237176,0.8605995090060718,0.1394004909939281
residual20_32,fixed horizon 37,catch_rate_at_least,0.5,True,0.2,0.3232479874394498,0.5145976142008732,0.5503401511134529,0.7560672005377154,0.24393279946228458
residual20_32,fixed horizon 37,catch_rate_at_least,0.75,False,0.3,0.4764120938572775,0.6742373239337588,0.47344387105124747,0.6294090443586569,0.37059095564134303
shuffled20_32,by earliest stop,realized_fpr_at_most,0.01,False,0.01,0.029266890134035033,0.08528702576998307,0.5683634174307014,0.9661298791334977,0.03387012086650233
shuffled20_32,by earliest stop,realized_fpr_at_most,0.05,True,0.025,0.04559018414637982,0.12598339298521247,0.5413244091215992,0.9470610652643661,0.05293893473563401
shuffled20_32,by earliest stop,realized_fpr_at_most,0.1,True,0.05,0.07452914372028327,0.18574370054308617,0.5815423185356134,0.9158327964739221,0.08416720352607787
shuffled20_32,by earliest stop,catch_rate_at_least,0.25,True,0.075,0.11496368565376205,0.26507835959879256,0.6096375895328564,0.8865002235117224,0.11349977648827747
shuffled20_32,by earliest stop,catch_rate_at_least,0.5,True,0.3,0.40207141410013847,0.6143595237552681,0.4771574277905123,0.6493655681776265,0.35063443182237347
shuffled20_32,by earliest stop,catch_rate_at_least,0.75,False,0.3,0.40207141410013847,0.6143595237552681,0.4771574277905123,0.6493655681776265,0.35063443182237347
shuffled20_32,fixed horizon 13,realized_fpr_at_most,0.01,False,0.01,0.017555402235145963,0.04365599038003841,0.4469961699097421,0.9758495134895637,0.024150486510436314
shuffled20_32,fixed horizon 13,realized_fpr_at_most,0.05,True,0.025,0.029851505027900523,0.06980412995927805,0.4248611103559901,0.9582496041389488,0.041750395861051115
shuffled20_32,fixed horizon 13,realized_fpr_at_most,0.1,True,0.075,0.07369381576955106,0.14402193661575438,0.3466969872092961,0.899298916150741,0.1007010838492591
shuffled20_32,fixed horizon 13,catch_rate_at_least,0.25,True,0.2,0.2128012467506859,0.29784254077604977,0.28234577505489883,0.7819374934181758,0.2180625065818243
shuffled20_32,fixed horizon 13,catch_rate_at_least,0.5,False,0.3,0.3733498328778023,0.43728758012714913,0.22057393607147877,0.6565167667737015,0.34348323322629853
shuffled20_32,fixed horizon 13,catch_rate_at_least,0.75,False,0.3,0.3733498328778023,0.43728758012714913,0.22057393607147877,0.6565167667737015,0.34348323322629853
shuffled20_32,fixed horizon 25,realized_fpr_at_most,0.01,False,0.01,0.02326047624090339,0.05055359068744945,0.41210332431885793,0.972729542126611,0.02727045787338909
