model,eval_time,constraint_type,constraint_value,constraint_met,alpha,realized_fpr_mean,catch_rate_mean,caught_alarm_fraction_mean,effective_alarm_fraction_mean,effective_lead_fraction_mean
shuffled_late24_28_32,fixed horizon 13,catch_rate_at_least,0.5,False,0.3,0.3145358711589702,0.3912642964465479,0.3140234224297103,0.7154970517574979,0.284502948242502
shuffled_late24_28_32,fixed horizon 13,catch_rate_at_least,0.75,False,0.3,0.3145358711589702,0.3912642964465479,0.3140234224297103,0.7154970517574979,0.284502948242502
shuffled_late24_28_32,fixed horizon 25,realized_fpr_at_most,0.01,False,0.01,0.027794602456367157,0.04535295449423238,0.32071977117532674,0.9670601101481344,0.03293988985186549
shuffled_late24_28_32,fixed horizon 25,realized_fpr_at_most,0.05,True,0.025,0.03841015683662742,0.06007545331612267,0.3188303415070959,0.95632554826152,0.04367445173848012
shuffled_late24_28_32,fixed horizon 25,realized_fpr_at_most,0.1,True,0.075,0.08888910739746463,0.1311515520314709,0.32394758712513855,0.9101845312352737,0.08981546876472635
shuffled_late24_28_32,fixed horizon 25,catch_rate_at_least,0.25,True,0.2,0.19701019535621397,0.276433074490681,0.4120531025425473,0.8179846841641567,0.1820153158358432
shuffled_late24_28_32,fixed horizon 25,catch_rate_at_least,0.5,False,0.3,0.3072811097399333,0.40941954979135503,0.39888356498710614,0.7290359808634007,0.2709640191365992
shuffled_late24_28_32,fixed horizon 25,catch_rate_at_least,0.75,False,0.3,0.3072811097399333,0.40941954979135503,0.39888356498710614,0.7290359808634007,0.2709640191365992
shuffled_late24_28_32,fixed horizon 37,realized_fpr_at_most,0.01,False,0.01,0.026914849529555408,0.042995249656811514,0.31434818798324543,0.9686474921353219,0.031352507864678233
shuffled_late24_28_32,fixed horizon 37,realized_fpr_at_most,0.05,True,0.025,0.03768161054631642,0.061389171635216254,0.31270307868525016,0.9567948152652006,0.043205184734799326
shuffled_late24_28_32,fixed horizon 37,realized_fpr_at_most,0.1,True,0.075,0.08303602828703258,0.14498057655664146,0.38718818702105656,0.9069568650431734,0.09304313495682662
shuffled_late24_28_32,fixed horizon 37,catch_rate_at_least,0.25,True,0.2,0.20466774578840577,0.30766454880106,0.5094888023714363,0.8222631838181534,0.17773681618184659
shuffled_late24_28_32,fixed horizon 37,catch_rate_at_least,0.5,False,0.3,0.3467643657036411,0.4654002339145341,0.4704329226916058,0.7214305045133645,0.27856949548663545
shuffled_late24_28_32,fixed horizon 37,catch_rate_at_least,0.75,False,0.3,0.3467643657036411,0.4654002339145341,0.4704329226916058,0.7214305045133645,0.27856949548663545
