model,alpha,eval_time,n_tasks,realized_fpr_mean,realized_fpr_std_task,realized_fpr_ci_low,realized_fpr_ci_high,catch_rate_mean,catch_rate_std_task,catch_rate_ci_low,catch_rate_ci_high,balanced_accuracy_mean,balanced_accuracy_std_task,balanced_accuracy_ci_low,balanced_accuracy_ci_high,caught_alarm_fraction_mean,caught_alarm_fraction_std_task,caught_alarm_fraction_ci_low,caught_alarm_fraction_ci_high,effective_alarm_fraction_mean,effective_alarm_fraction_std_task,effective_alarm_fraction_ci_low,effective_alarm_fraction_ci_high,caught_lead_fraction_mean,caught_lead_fraction_std_task,caught_lead_fraction_ci_low,caught_lead_fraction_ci_high,effective_lead_fraction_mean,effective_lead_fraction_std_task,effective_lead_fraction_ci_low,effective_lead_fraction_ci_high
lstm,0.1,by final end,10,0.24482099836767243,0.2512058737223143,0.10257258956680679,0.41055285814242937,0.6416109299541854,0.23141481818329784,0.4825738661205764,0.7675935116582009,0.6983949657932564,0.10687383468791743,0.6273368183035052,0.7622879873732694,0.3920681006823358,0.13361387848265793,0.3043337952995841,0.4695226931150077,0.6232573332387342,0.18539921957894864,0.5075464092603117,0.7335349034005105,0.6079318993176642,0.13361387848265793,0.5285518234532499,0.6944770365058043,0.37674266676126583,0.18539921957894867,0.26642564664653917,0.49477800938611455
lstm,0.15,by final end,10,0.33622345237968393,0.2994168692731933,0.16075367773188662,0.5239667865832035,0.7598969381455116,0.21575804188370792,0.6086986111939001,0.8684835941912492,0.711836742882914,0.12630854972338884,0.6311795305084458,0.7886149976861531,0.3820249761266467,0.12458213309545393,0.30085740334073124,0.45426547313987076,0.5311521754046881,0.19245694298472882,0.4130235734986162,0.6511628800508316,0.6179750238733532,0.12458213309545393,0.5454442649061735,0.6963815827016351,0.46884782459531193,0.19245694298472882,0.35230685646243687,0.5846045613017353
lstm,0.2,by final end,10,0.4337374780405258,0.32158833431065115,0.24132445812431152,0.6395878096053441,0.8096976278426995,0.21646582177991167,0.658393092993219,0.9104343752105987,0.6879800749010869,0.13071481305963062,0.6055001150652021,0.7698273783445273,0.3292558032833378,0.1045860895425505,0.2628546667134614,0.3909443144844084,0.4539432313683534,0.19129455924257957,0.34471147802891,0.5830234115145733,0.6707441967166623,0.10458608954255048,0.6078023661156239,0.7379368324600601,0.5460567686316465,0.19129455924257957,0.4217043387745684,0.6569052823586244
lstm,0.3,by final end,10,0.5655295629331689,0.3365943743555251,0.35727831038218677,0.770631973776424,0.8828368742569422,0.20586609566974423,0.7394671673925162,0.9643659171236592,0.6586536556618866,0.13760584804429987,0.5772643899641069,0.7459706174616341,0.27349707233045273,0.10258434460334505,0.2078240009425156,0.3347424158056516,0.34956872628050306,0.19605352108435034,0.24523310159300357,0.4816151868465892,0.7265029276695473,0.10258434460334508,0.6638885783356807,0.7902478484905467,0.6504312737194968,0.19605352108435034,0.516686843033617,0.7542363049955333
mlp,0.01,by earliest stop,10,0.002708333333333333,0.008125,0.0,0.008124999999999999,0.010740000286456344,0.018723864445939913,0.00078125,0.023382464574898783,0.5040158334765615,0.006570585837812303,0.500390625,0.5084282977888753,0.7666048824411473,0.2298475398971671,0.546157526571549,0.9693270535486028,0.9956883045044951,0.010099769509202793,0.9889539350094578,0.9999839041402128,0.23339511755885275,0.22984753989716702,0.03067294645139723,0.45384247342845097,0.004311695495505084,0.010099769509202824,1.6095859787176318e-05,0.011015950128048985
mlp,0.025,by earliest stop,10,0.005629432624113475,0.016191508874556046,0.0,0.016462765957446807,0.02000150389580628,0.03509378457824267,0.0016981132075471698,0.04482793522267206,0.5071860356358464,0.010983399205936835,0.50078125,0.5148028424426451,0.6736536313985791,0.1898441411423766,0.4927613516569136,0.8422187698701435,0.989999007416445,0.021954441002848542,0.9749239863501925,0.9995746887966804,0.32634636860142086,0.18984414114237658,0.15778123012985648,0.5072386483430864,0.010000992583555121,0.02195444100284853,0.0002798891174103535,0.025008780134056847
mlp,0.05,by earliest stop,10,0.031622340425531914,0.08312235676386455,0.0,0.08736702127659575,0.0412155416889466,0.06584125654192177,0.00515625,0.08525876556412804,0.5047966006317074,0.021547344361666117,0.4919726713283204,0.5184276735062012,0.5218640542422941,0.20841676547870852,0.3269691544497919,0.7075836503422905,0.9738484861924801,0.05450217664853295,0.9353742165713866,0.9983253371369294,0.4781359457577059,0.20841676547870855,0.29241634965770935,0.6730308455502081,0.02615151380751976,0.05450217664853298,0.0011164419087136923,0.06471598888878793
mlp,0.075,by earliest stop,10,0.047860520094562646,0.0919564651487601,0.0041666666666666675,0.11358156028368793,0.08476440159269727,0.13338644945736053,0.014807692307692308,0.17513545804369413,0.5184519407490674,0.04441609168528972,0.4980113024945359,0.5488132942532614,0.45165636597241543,0.21020316762869073,0.242114332382948,0.6770904892136558,0.95530126026005,0.07938134615582568,0.9001567270498503,0.9950726141078838,0.5483436340275846,0.21020316762869073,0.32290951078634417,0.757885667617052,0.04469873973995002,0.07938134615582566,0.006556808688387641,0.10015657262661866
mlp,0.1,by earliest stop,10,0.10829981647380864,0.19003555419327908,0.0077777777777777776,0.23890164240388204,0.13455370622213178,0.2280079487670348,0.017550167224080267,0.29438888119700557,0.5131269448741616,0.03216703772355874,0.4962088749821466,0.5354234515881398,0.3410783086183417,0.2596240855470982,0.14307711104856394,0.5602327871549032,0.9326006489036492,0.11454045295884142,0.8515695962780512,0.9884047924077537,0.6589216913816581,0.2596240855470982,0.4397672128450966,0.8569228889514361,0.06739935109635074,0.11454045295884142,0.010599908243432753,0.14850615408753623
mlp,0.15,by earliest stop,10,0.13885125046659202,0.2705762431474814,0.012149122807017545,0.3246845837999254,0.16477569468877531,0.28343058317422765,0.02683110367892976,0.3615920042815213,0.5129622221110917,0.02234307067555415,0.5020319074333801,0.52841307382134,0.40381065633625474,0.2425666193755803,0.21382806791250752,0.6015825991779167,0.9228556527240175,0.10735201423835404,0.8492999041125866,0.9808523448553063,0.5961893436637453,0.24256661937558027,0.3984174008220833,0.7837284865598665,0.07714434727598242,0.10735201423835407,0.019155414895621,0.14673664008952902
