model,fold,heldout_task,cp_seed,alpha,eval_time,n_validation_success,regression_calibration_count,modulation_calibration_count,band_width,realized_fpr,catch_rate,tnr,balanced_accuracy,caught_alarm_fraction,effective_alarm_fraction,caught_lead_fraction,effective_lead_fraction,success_false_alarm_fraction,any_alarm_rate,roc_auc_max_score
mlp,3,3,0,0.01,by final end,200,60,140,1.0007472573600917,0.0625,0.40384615384615385,0.9375,0.6706730769230769,0.7919413919413918,0.9159763313609468,0.2080586080586082,0.0840236686390532,0.29935897435897435,0.24,0.9759615384615384
mlp,3,3,0,0.01,by earliest stop,200,60,140,1.0007472573600917,0.020833333333333332,0.07692307692307693,0.9791666666666666,0.5280448717948718,0.4344919786096257,0.9564993829699712,0.5655080213903743,0.04350061703002883,0.48663101604278075,0.05,0.7255608974358975
mlp,3,3,0,0.01,fixed horizon 50,200,60,140,1.0004358699219618,0.0,0.07692307692307693,1.0,0.5384615384615384,0.4,0.9538461538461539,0.6,0.0461538461538461,,0.04,0.5881410256410257
mlp,3,3,0,0.01,fixed horizon 100,200,60,140,1.0007472573600917,0.020833333333333332,0.057692307692307696,0.9791666666666666,0.5184294871794871,0.75,0.9855769230769231,0.25,0.014423076923076872,0.91,0.04,0.6157852564102564
mlp,3,3,0,0.01,fixed horizon 148,200,60,140,1.0007472573600917,0.020833333333333332,0.07692307692307693,0.9791666666666666,0.5280448717948718,0.5489864864864865,0.965306652806653,0.4510135135135135,0.034693347193347046,0.6148648648648649,0.05,0.7151442307692307
mlp,3,3,0,0.025,by final end,200,60,140,1.000255249255767,0.08333333333333333,0.40384615384615385,0.9166666666666666,0.6602564102564102,0.6003663003663003,0.8386094674556213,0.39963369963369966,0.16139053254437874,0.06490384615384615,0.25,0.9759615384615384
mlp,3,3,0,0.025,by earliest stop,200,60,140,1.000255249255767,0.08333333333333333,0.15384615384615385,0.9166666666666666,0.5352564102564102,0.1804812834224599,0.8739201974496092,0.8195187165775402,0.12607980255039075,0.1804812834224599,0.12,0.7255608974358975
mlp,3,3,0,0.025,fixed horizon 50,200,60,140,1.0001645459050226,0.08333333333333333,0.1346153846153846,0.9166666666666666,0.5256410256410257,0.31428571428571433,0.9076923076923078,0.6857142857142857,0.0923076923076922,0.4,0.11,0.5881410256410257
mlp,3,3,0,0.025,fixed horizon 100,200,60,140,1.000255249255767,0.08333333333333333,0.15384615384615385,0.9166666666666666,0.5352564102564102,0.3375,0.8980769230769231,0.6625,0.1019230769230769,0.3375,0.12,0.6157852564102564
mlp,3,3,0,0.025,fixed horizon 148,200,60,140,1.000255249255767,0.08333333333333333,0.15384615384615385,0.9166666666666666,0.5352564102564102,0.22804054054054054,0.8812370062370062,0.7719594594594594,0.11876299376299382,0.22804054054054057,0.12,0.7151442307692307
