comparison_type,left,right,eval_time,left_alpha,right_alpha,n_tasks,delta_realized_fpr,delta_realized_fpr_ci_low,delta_realized_fpr_ci_high,delta_realized_fpr_positive_tasks,delta_catch_rate,delta_catch_rate_ci_low,delta_catch_rate_ci_high,delta_catch_rate_positive_tasks,delta_effective_lead_fraction,delta_effective_lead_fraction_ci_low,delta_effective_lead_fraction_ci_high,delta_effective_lead_fraction_positive_tasks,catch_rate_sign_flip_pvalue_two_sided
same nominal alpha,late24_28_32,baseline32,fixed horizon 37,0.3,0.3,10,0.048339885409505234,-0.025054474206349157,0.14573539450745338,5,0.05940722949576903,0.00018648900260209093,0.1265647543385168,6,0.057461792550433544,0.015211571741389204,0.10643760502965625,8,0.12975609756097561
independent FPR <= 0.05 operating points,late24_28_32,baseline32,fixed horizon 37,0.01,0.025,10,-0.004393997430116507,-0.030017761258349488,0.0180799825783972,4,-0.014573785522568486,-0.05462607963509333,0.013036285778679286,3,-0.006357855319822874,-0.02516450913388033,0.008664374364222217,5,0.68
same nominal alpha,shuffled_late24_28_32,baseline32,by earliest stop,0.01,0.01,10,0.004427197802197804,-0.0161529304029304,0.019904761904761904,6,-0.022610541520683515,-0.05334333691888458,0.0037959246112237895,4,0.0001212993322778362,-0.017870833079608944,0.01641521405224404,4,0.18439024390243902
same nominal alpha,shuffled_late24_28_32,baseline32,by earliest stop,0.025,0.025,10,0.0006562754995681847,-0.023880716575091575,0.0216988095238095,5,-0.03169990677566742,-0.06368451054664288,-0.0015141311697093028,3,-0.0020911572576385457,-0.024536673867681356,0.017916563605650512,4,0.09463414634146342
same nominal alpha,shuffled_late24_28_32,baseline32,by earliest stop,0.05,0.05,10,-0.00274057666787222,-0.03029109934780666,0.020912048096770084,4,-0.036247116192349466,-0.06458877005347594,-0.005641734279918878,1,0.000474330614163259,-0.025854863622554885,0.025223462325268755,5,0.04
same nominal alpha,shuffled_late24_28_32,baseline32,by earliest stop,0.075,0.075,10,-0.005036742115687598,-0.034841416036537995,0.02709978403948991,4,-0.03227617657303254,-0.06269041666666665,-0.0001812035158890862,2,0.006290148900102861,-0.026238595881880402,0.039106819084140876,5,0.09073170731707317
same nominal alpha,shuffled_late24_28_32,baseline32,by earliest stop,0.1,0.1,10,-0.008650018883555464,-0.04315559777620753,0.030455071194049832,4,-0.03588471838056017,-0.07056586452762922,0.0009935709785481364,2,0.006310679445174936,-0.030251936439692175,0.044531285378048166,5,0.09853658536585366
same nominal alpha,shuffled_late24_28_32,baseline32,by earliest stop,0.15,0.15,10,-0.014731726957085639,-0.06180474436979011,0.05097918636042735,1,-0.043997012723584736,-0.0801254039891819,-0.003591308623763009,2,0.00880842905958637,-0.03401431121101603,0.05714549706856669,3,0.06731707317073171
same nominal alpha,shuffled_late24_28_32,baseline32,by earliest stop,0.2,0.2,10,-0.03305806935372933,-0.0705700194876262,0.007331451339987917,2,-0.05989494881198735,-0.09497068082788669,-0.023751773738056668,3,-0.007636825292799415,-0.045608296357690266,0.031745559415612815,3,0.024390243902439025
same nominal alpha,shuffled_late24_28_32,baseline32,by earliest stop,0.3,0.3,10,-0.010600567036183945,-0.030465600665972783,0.006118941664803349,5,-0.045017036490667316,-0.08192325895875593,-0.011844448798328095,3,-8.430675028803792e-05,-0.040235246431810555,0.04398234470750209,3,0.03414634146341464
