model,alpha,eval_time,n_tasks,roc_auc_max_score_mean,roc_auc_max_score_std_task,roc_auc_max_score_ci_low,roc_auc_max_score_ci_high,realized_fpr_mean,realized_fpr_std_task,realized_fpr_ci_low,realized_fpr_ci_high,catch_rate_mean,catch_rate_std_task,catch_rate_ci_low,catch_rate_ci_high,balanced_accuracy_mean,balanced_accuracy_std_task,balanced_accuracy_ci_low,balanced_accuracy_ci_high,caught_alarm_fraction_mean,caught_alarm_fraction_std_task,caught_alarm_fraction_ci_low,caught_alarm_fraction_ci_high,effective_alarm_fraction_mean,effective_alarm_fraction_std_task,effective_alarm_fraction_ci_low,effective_alarm_fraction_ci_high,caught_lead_fraction_mean,caught_lead_fraction_std_task,caught_lead_fraction_ci_low,caught_lead_fraction_ci_high,effective_lead_fraction_mean,effective_lead_fraction_std_task,effective_lead_fraction_ci_low,effective_lead_fraction_ci_high
baseline32,0.1,fixed horizon 25,10,0.5990411552504782,0.07639160603614602,0.5527656819778499,0.6470151051047736,0.1075450684558917,0.07244420601761122,0.06396835194015717,0.15394270198426752,0.20687981262169114,0.10468176448391447,0.14126750877638544,0.2705828604261486,0.5496673720828997,0.03520185966080522,0.5282690312300775,0.5719567854302267,0.3881430406770353,0.14618124067346522,0.3001339579459017,0.4818109046209374,0.8654156229991246,0.09275525693930632,0.8049815056786754,0.918999618275796,0.6118569593229647,0.14618124067346522,0.5212315215052158,0.6999947105225428,0.13458437700087536,0.09275525693930631,0.08030716075133511,0.19464598102697175
baseline32,0.15,fixed horizon 25,10,0.5990411552504782,0.07639160603614602,0.5521159542249319,0.6471308966898046,0.16683341103603017,0.12481132864962119,0.09345144284338865,0.24708875961626348,0.28916522400334127,0.12231183854774576,0.21250045218889704,0.36283608148751395,0.5611659064836555,0.042744699661824044,0.5352031957894325,0.587629525320555,0.48300661811407836,0.17062033763025045,0.3781876318341895,0.5905039131188731,0.8370882688491739,0.09147127241362144,0.7799916490193453,0.8928188977137532,0.5169933818859216,0.17062033763025045,0.4100106647782054,0.6212512227122187,0.16291173115082608,0.09147127241362145,0.1072789427618595,0.2190319506149482
baseline32,0.2,fixed horizon 25,10,0.5990411552504782,0.07639160603614602,0.5517201353762459,0.6471059668621921,0.2489110152165756,0.19947289924189862,0.13645363593131982,0.3813204172451085,0.37644782983771174,0.16750980234542875,0.27828425511729965,0.4827841527619139,0.5637684073105681,0.05020405942286164,0.5333448495652592,0.5953186054688757,0.48304160307002375,0.1822383670768221,0.37306056027395523,0.5968999386401983,0.7918457445935215,0.10927833098629457,0.7240904103045744,0.859350001385477,0.5169583969299761,0.1822383670768221,0.4030924260775602,0.6298537792875496,0.20815425540647842,0.10927833098629455,0.14027458639134374,0.27431277248763863
baseline32,0.3,fixed horizon 25,10,0.5990411552504782,0.07639160603614602,0.551781711546295,0.646821676444369,0.40742299584542846,0.2781557309337223,0.24323460388180246,0.5885346073023378,0.539985239102479,0.2052760509701532,0.42054620038659446,0.6727787381848308,0.5662811216285253,0.06436444096418663,0.5277245024135485,0.6069147665219394,0.4165376871255807,0.15866434281001193,0.32724609064741944,0.522837347646774,0.6696914739259536,0.15349818245026542,0.5753210936055977,0.7652809877235853,0.5834623128744193,0.1586643428100119,0.47694441139076205,0.6713576469766389,0.33030852607404626,0.15349818245026545,0.23481641029120304,0.42274640182988077
baseline32,0.01,fixed horizon 37,10,0.6441202963244654,0.07785001067479973,0.5975206835177339,0.6942673100242321,0.015179048357471542,0.015826818945545933,0.006292014328241421,0.02574722705867141,0.05170310488471465,0.030817826145096944,0.033226966655885544,0.07143160399151686,0.5182620282636214,0.010131649552201869,0.5121552270333698,0.5246294547404295,0.45280734035266645,0.1371625842238708,0.381113462875268,0.5468203408996127,0.9689795926827186,0.021605675586525337,0.954706683905984,0.981319656366661,0.5471926596473335,0.13716258422387076,0.45372199104501565,0.6192478263976842,0.031020407317281406,0.021605675586525347,0.01867123145833155,0.04487177908406235
baseline32,0.025,fixed horizon 37,10,0.6441202963244654,0.07785001067479973,0.5970724839038255,0.6936010312266038,0.02601754964381691,0.024648258473851516,0.011868225846157281,0.04219115538857642,0.08478131572215639,0.04974061896867189,0.05531279188989579,0.11641939292232832,0.5293818830391698,0.01627406641032925,0.5193689932730379,0.5392732390863725,0.4583328595241113,0.13380531276355273,0.3865917443757895,0.5492365817662839,0.9482437823848283,0.03689950800240203,0.9243864434115339,0.9696725336514151,0.5416671404758887,0.13380531276355276,0.4509758758698399,0.6128381530335237,0.05175621761517163,0.03689950800240204,0.030649853971697175,0.07570781260618098
baseline32,0.05,fixed horizon 37,10,0.6441202963244654,0.07785001067479973,0.5966743550252426,0.6928563383195372,0.04613677935040492,0.04389478937487687,0.020957068725851107,0.07468872727878176,0.13686127600911024,0.08185111706741216,0.0893774293085367,0.1909309950359482,0.5453622483293528,0.02591375226336193,0.5300192566610624,0.5622756904009556,0.4670286120849184,0.15198142840531803,0.3793484227773233,0.5657410046451619,0.9164680779279928,0.0615567648572211,0.8758343179071757,0.9513789908055139,0.5329713879150816,0.151981428405318,0.4332244269068249,0.619521151400207,0.0835319220720072,0.06155676485722113,0.04799510969073452,0.1236329343470123
baseline32,0.075,fixed horizon 37,10,0.6441202963244654,0.07785001067479973,0.596634449692681,0.6927140202764066,0.06786236013308451,0.054808672132066936,0.03617133573954279,0.10394070704731853,0.18955072239430867,0.09626254671349559,0.13331193999556845,0.252675804170099,0.560844181130612,0.033260947794764496,0.5414749753410466,0.5825748086122279,0.5237977761960944,0.14576100910699752,0.4305618828781458,0.6119968153175075,0.899167382316517,0.06584707925019766,0.8565241794029734,0.9374299621163529,0.4762022238039056,0.14576100910699752,0.3882120432260364,0.5680582455983256,0.10083261768348295,0.06584707925019767,0.061813089032712244,0.14354589991316408
baseline32,0.1,fixed horizon 37,10,0.6441202963244654,0.07785001067479973,0.5976373404610834,0.6931246376954701,0.10170007616578369,0.07732899762526088,0.055544338563663365,0.15107513319194235,0.24626039339393596,0.10833638202059169,0.1803314307846597,0.31560899169836854,0.5722801586140762,0.037710288395073566,0.5501533797433081,0.5964039136525242,0.5229006050276717,0.15847431377458174,0.42317095800718396,0.6194785517562124,0.8698766046389735,0.07893036609593669,0.8191328288752096,0.916824538128529,0.4770993949723283,0.1584743137745817,0.37884011102714926,0.5751761747643194,0.13012339536102635,0.07893036609593669,0.08370623083584375,0.18089024760162573
baseline32,0.15,fixed horizon 37,10,0.6441202963244654,0.07785001067479973,0.5971814034515164,0.6933726617464168,0.16290914182162958,0.12699733937220048,0.08961431750741147,0.24670282197137602,0.33715987153695115,0.13359449068693047,0.25754903674161117,0.42088145442447084,0.5871253648576606,0.04022257614935403,0.5642372473719086,0.6139419532964221,0.5592917726489921,0.14293645675941513,0.4706525645116188,0.644903532737714,0.8408907106801189,0.07827547986273357,0.7925446426028699,0.8898157018733889,0.4407082273510078,0.1429364567594151,0.3556745900673699,0.5310495093990841,0.1591092893198811,0.07827547986273357,0.11026427031256895,0.20660547946268212
baseline32,0.2,fixed horizon 37,10,0.6441202963244654,0.07785001067479973,0.5973890418583757,0.6932440074506846,0.25391878299840487,0.1921022614360868,0.1442612826853,0.37867184292427636,0.4427058997016561,0.1608578794356247,0.346585713493307,0.5457897964483778,0.5943935583516256,0.05143582645531342,0.5636036430699485,0.627374367364203,0.54676102294482,0.1153754138696346,0.47520096352043356,0.6179273302568861,0.7906029537057484,0.09303102076623893,0.7328166147256545,0.8482007907237723,0.45323897705517996,0.1153754138696346,0.3822313926181478,0.5246282863190882,0.20939704629425154,0.09303102076623895,0.15207670387163563,0.2669040878350342
baseline32,0.3,fixed horizon 37,10,0.6441202963244654,0.07785001067479973,0.597203183229832,0.6920843581309357,0.42072855674427734,0.26448944898667126,0.26277443494975505,0.5890922311360881,0.6271274275278869,0.16958052323954528,0.524098790978168,0.7357717180493261,0.6031994353918049,0.07587240761567345,0.5584148830791712,0.6510783231990354,0.4832221800236235,0.11043160956790685,0.4185040501262776,0.5532589784914957,0.6645367028448217,0.13285685316239496,0.5821090546673624,0.7448680522546428,0.5167778199763765,0.11043160956790683,0.44655952082474626,0.5823470115125507,0.3354632971551781,0.13285685316239496,0.2543203822300041,0.41707281258628914
layer20_32,0.01,by earliest stop,10,0.6695907489438847,0.08833141109297366,0.6172318837502774,0.7249387781846601,0.029333022136533538,0.04974626200119111,0.0030626272212136195,0.06539226377521141,0.10012534430867326,0.09101939632968632,0.04818106447850195,0.16058648119962154,0.5353961610860698,0.02513773716410466,0.5198821009445167,0.5508812623771466,0.6684593414642402,0.14159647717521454,0.57008468814829,0.7553276657005983,0.9618402242483073,0.04888044795883779,0.9281795254472959,0.9880614608920759,0.3315406585357597,0.14159647717521456,0.24494275814668348,0.4273942664689793,0.03815977575169263,0.04888044795883778,0.011983087272248328,0.0717259418558666
layer20_32,0.025,by earliest stop,10,0.6695907489438847,0.08833141109297366,0.6161419606858335,0.7254897600268709,0.05320288410747024,0.08455884786640228,0.008773828310555717,0.11404416347066101,0.15017057522678104,0.12757465954231723,0.07749092789202928,0.23434363457002744,0.5484838455596555,0.030800470902787334,0.5292807849738639,0.5671085619732315,0.6647458217193336,0.15055789826012494,0.573137768780749,0.7590176684639496,0.9399362201012851,0.0676716104024799,0.8944591027481542,0.9768642235054364,0.33525417828066645,0.15055789826012492,0.24045038858890225,0.42671392498340444,0.0600637798987149,0.06767161040247992,0.023146034927736998,0.10622028513043429
layer20_32,0.05,by earliest stop,10,0.6695907489438847,0.08833141109297366,0.6167871076737609,0.7264472875805914,0.0939398608672505,0.13822427245866378,0.018796342865607607,0.19194244578875905,0.2207621965467744,0.16761853967590423,0.12504854586456762,0.33063324227494717,0.5634111678397618,0.032338184959236994,0.542828760993807,0.5826243511518239,0.6273622865775216,0.14602143509644328,0.5410915361898204,0.7223794564073169,0.9078992115956195,0.08782952917730302,0.8487428228525854,0.9579810128898086,0.3726377134224783,0.14602143509644328,0.277523786833691,0.4590771731845666,0.09210078840438046,0.08782952917730305,0.04257610223344507,0.15035891530734818
