comparison_type,left,right,eval_time,left_alpha,right_alpha,n_tasks,delta_realized_fpr,delta_realized_fpr_ci_low,delta_realized_fpr_ci_high,delta_realized_fpr_positive_tasks,delta_catch_rate,delta_catch_rate_ci_low,delta_catch_rate_ci_high,delta_catch_rate_positive_tasks,delta_effective_lead_fraction,delta_effective_lead_fraction_ci_low,delta_effective_lead_fraction_ci_high,delta_effective_lead_fraction_positive_tasks,catch_rate_sign_flip_pvalue_two_sided
independent FPR <= 0.05 operating points,shuffled20_32,baseline32,fixed horizon 13,0.025,0.025,10,-0.007417316844804828,-0.02307690427390739,0.005697554735069653,5,-0.019164551057281837,-0.05502821846297189,0.009348592020199904,4,-0.015837789919847783,-0.04034439582519139,0.0029053704888325057,3,0.4146341463414634
same nominal alpha,shuffled20_32,baseline32,fixed horizon 25,0.01,0.01,10,0.004145396815516066,-0.013397893863344014,0.028619902402877328,3,-0.0016475482691139052,-0.02550816073996222,0.021924291291306193,5,-0.006615978055374723,-0.02006586433558273,0.004686310144253678,4,0.8790243902439024
same nominal alpha,shuffled20_32,baseline32,fixed horizon 25,0.025,0.025,10,0.00472882034210269,-0.018451024313963678,0.036193767432049766,5,-0.008643799739245778,-0.04516757820275202,0.02547708208794286,4,-0.012791294953371671,-0.0333071790754536,0.004821924880257452,4,0.6819512195121952
same nominal alpha,shuffled20_32,baseline32,fixed horizon 25,0.05,0.05,10,0.002424064174534128,-0.03019452523515968,0.04426697799997416,4,-0.013467556864182481,-0.06230902583406785,0.0321478478536277,4,-0.01920295889526808,-0.04956238785195028,0.005403763491678372,4,0.6195121951219512
same nominal alpha,shuffled20_32,baseline32,fixed horizon 25,0.075,0.075,10,0.01035826561393816,-0.03049597358884546,0.0667275297047156,4,-0.013699461758248682,-0.06833295406320786,0.04308552364240029,3,-0.017398630266635136,-0.05099617106178853,0.01217032656108293,4,0.6624390243902439
same nominal alpha,shuffled20_32,baseline32,fixed horizon 25,0.1,0.1,10,0.010416004126626823,-0.03918927785587493,0.07757010371949845,4,-0.012302467283002286,-0.07298472032156546,0.05349817516142105,3,-0.01594512709768276,-0.0553073701394322,0.02051811801478201,3,0.7170731707317073
same nominal alpha,shuffled20_32,baseline32,fixed horizon 25,0.15,0.15,10,0.00542050386252182,-0.039461349744097464,0.05438708743196282,4,-0.017638198881861182,-0.07656786531739058,0.04000230187978968,4,-0.0030915388183966413,-0.03874231198958737,0.03224131447356051,4,0.6058536585365853
same nominal alpha,shuffled20_32,baseline32,fixed horizon 25,0.2,0.2,10,-0.00380280115079768,-0.05202227537338652,0.04512502429652168,5,-0.024419934309264722,-0.08054373455093085,0.03235137767391261,4,0.0012065521973818466,-0.0381204305795118,0.03994501697635938,5,0.44390243902439025
same nominal alpha,shuffled20_32,baseline32,fixed horizon 25,0.3,0.3,10,-0.02606475904746236,-0.08518710957120072,0.03319508643336625,5,-0.04899077274085435,-0.11265912764573643,0.013808424637970867,4,-0.014010298452773887,-0.06464407326959531,0.03709653340063334,4,0.18439024390243902
independent FPR <= 0.05 operating points,shuffled20_32,baseline32,fixed horizon 25,0.025,0.025,10,0.00472882034210269,-0.018451024313963678,0.036193767432049766,5,-0.008643799739245778,-0.04516757820275202,0.02547708208794286,4,-0.012791294953371671,-0.0333071790754536,0.004821924880257452,4,0.6819512195121952
