model,alpha,eval_time,n_tasks,roc_auc_max_score_mean,roc_auc_max_score_std_task,roc_auc_max_score_ci_low,roc_auc_max_score_ci_high,realized_fpr_mean,realized_fpr_std_task,realized_fpr_ci_low,realized_fpr_ci_high,catch_rate_mean,catch_rate_std_task,catch_rate_ci_low,catch_rate_ci_high,balanced_accuracy_mean,balanced_accuracy_std_task,balanced_accuracy_ci_low,balanced_accuracy_ci_high,caught_alarm_fraction_mean,caught_alarm_fraction_std_task,caught_alarm_fraction_ci_low,caught_alarm_fraction_ci_high,effective_alarm_fraction_mean,effective_alarm_fraction_std_task,effective_alarm_fraction_ci_low,effective_alarm_fraction_ci_high,caught_lead_fraction_mean,caught_lead_fraction_std_task,caught_lead_fraction_ci_low,caught_lead_fraction_ci_high,effective_lead_fraction_mean,effective_lead_fraction_std_task,effective_lead_fraction_ci_low,effective_lead_fraction_ci_high
baseline32,0.05,fixed horizon 13,10,0.5691510064788395,0.08052968850895423,0.5227153714932482,0.620684930025586,0.07072255007068493,0.08995948454758923,0.01822876451800232,0.13029513936406312,0.10917228778658798,0.09795919369998789,0.05263308006535947,0.17224574843260176,0.5192248688579515,0.014692714067460035,0.5102183206224978,0.5283435737866201,0.3742220172783757,0.09559342544601301,0.31022341568830863,0.43461889049702196,0.9232045911604734,0.0755301039143558,0.87395591006216,0.9668457476347182,0.6257779827216243,0.095593425446013,0.5648402838549269,0.689727481891519,0.07679540883952649,0.07553010391435579,0.03367102815485168,0.12578573060926002
baseline32,0.075,fixed horizon 13,10,0.5691510064788395,0.08052968850895423,0.5221865485998255,0.6207042675034785,0.09502661204569382,0.11481869930870127,0.03152637064832186,0.17179422667440947,0.13651667486221236,0.111738834064572,0.07212624925727866,0.20933575929169992,0.5207450314082593,0.014541816369389391,0.5117766113282951,0.5295111641712188,0.36643411498827433,0.09603780194231766,0.3017128278319704,0.42599628934415107,0.903594031909042,0.08768124234878452,0.8451202096247228,0.953820060331825,0.6335658850117256,0.09603780194231765,0.573065207384651,0.698168936112128,0.09640596809095792,0.08768124234878451,0.04607335881438822,0.15513141920058737
baseline32,0.1,fixed horizon 13,10,0.5691510064788395,0.08052968850895423,0.5221722582172652,0.621900646225028,0.11729443183151933,0.13821716249238436,0.0393630467571644,0.20813539206927284,0.16528555330178046,0.12221676945269158,0.09416875,0.24456018002028393,0.5239955607351304,0.019459856400071078,0.5119641243192842,0.5358563384317142,0.36453187171588236,0.10716520767308804,0.2941540533109692,0.4306272532990637,0.8834016020715817,0.09913908517346376,0.8165216437664207,0.9397556755907491,0.6354681282841175,0.10716520767308803,0.5689502255265758,0.706630698262168,0.1165983979284182,0.09913908517346377,0.06086035633484161,0.18148064164621705
baseline32,0.15,fixed horizon 13,10,0.5691510064788395,0.08052968850895423,0.5225489931174787,0.6215727736122559,0.17798170168345923,0.18772126417016904,0.07223308128186176,0.3028779627235509,0.23972709584007754,0.158714192723506,0.14847004629629626,0.3446776960784311,0.5308726970783091,0.03323086718483756,0.5111090262408218,0.5521374558366041,0.3401479792665748,0.1385223633970102,0.25182224245646556,0.422018848102787,0.8421006730329246,0.10494360769403101,0.7756307192353135,0.9044632956259424,0.6598520207334252,0.1385223633970102,0.5765207299923135,0.7480851586826535,0.15789932696707545,0.10494360769403098,0.09661845083565669,0.22397449153008736
baseline32,0.2,fixed horizon 13,10,0.5691510064788395,0.08052968850895423,0.52249684349451,0.6212047429727134,0.22947668733705315,0.23860521087306794,0.09104436056321726,0.39040218233494134,0.3024675630544798,0.1864231424265995,0.19412816135492858,0.42615819306144603,0.5364954378587135,0.0505806996539896,0.5063824969399823,0.5686885438756224,0.3348295657695429,0.11245755793620886,0.2638620060316984,0.40221876926847006,0.7934564125154389,0.12753717536540254,0.7128175379142493,0.8692418887213005,0.6651704342304571,0.11245755793620885,0.5982593069286903,0.7365528271184388,0.2065435874845611,0.12753717536540254,0.1312840535444947,0.287770310236867
baseline32,0.3,fixed horizon 13,10,0.5691510064788395,0.08052968850895423,0.5219837218149591,0.6205146716897163,0.3377177049994481,0.29374740162230284,0.16818069105691053,0.5302242130498225,0.42578256500092204,0.22509780623133616,0.29221873867990245,0.5697063656084168,0.544032430000737,0.0655699277360374,0.5050655566004564,0.5859642117076918,0.27830180028186546,0.09629411540478706,0.21636246210092297,0.3342144092836853,0.6833880208702723,0.1608922245203878,0.5856354099289823,0.7838405051844707,0.7216981997181345,0.09629411540478709,0.6658933445472132,0.7846049594035812,0.3166119791297276,0.1608922245203878,0.21864394482151836,0.4166346579975129
baseline32,0.01,fixed horizon 25,10,0.6229111325996701,0.0950740481615377,0.5699624240865625,0.6860552813269678,0.029317776341305744,0.04241479931105359,0.005768253968253967,0.057736579760109166,0.04606841436679164,0.048453981912763566,0.018073897058823524,0.0778539420574917,0.508375319012743,0.011763999880681357,0.5012317426650147,0.5157776054517941,0.22846624830796908,0.12254408601101313,0.1422316846546311,0.3093921229113596,0.9633985862273855,0.040173268041765124,0.9368426297457333,0.9860108416221032,0.7715337516920309,0.12254408601101316,0.6900364051893273,0.8577683153453689,0.03660141377261457,0.04017326804176513,0.01358041301247771,0.06326222745302916
baseline32,0.025,fixed horizon 25,10,0.6229111325996701,0.0950740481615377,0.5705616980674634,0.6860549401578813,0.046416345343640884,0.06401213660298985,0.008057955139372821,0.09006762739492294,0.0680839018993177,0.0722307584721704,0.026617606209150314,0.11553542486221234,0.5108337782778385,0.013409090773598165,0.5032279451630695,0.5198771906948192,0.3182584990321883,0.21474304092870636,0.19699703962730658,0.4719370882266506,0.947795851578667,0.05775014293051792,0.9093572099627104,0.9809421062091503,0.6817415009678117,0.21474304092870636,0.5280449915008477,0.80370880634517,0.05220414842133299,0.05775014293051792,0.018732732026143777,0.09022893507078893
baseline32,0.05,fixed horizon 25,10,0.6229111325996701,0.0950740481615377,0.5709040232110694,0.687197673014782,0.0641244328563195,0.08136954406823775,0.0162,0.11746344578872822,0.10217802979080867,0.10042735536441204,0.044743725490196076,0.16843906611756507,0.5190267984672445,0.01929220041297383,0.5083409349590853,0.5322358748534234,0.34854405611494693,0.20479908689777757,0.23689682840827297,0.49611947444138516,0.9270875794045935,0.0718316244871879,0.8802559070696827,0.9682782666666666,0.6514559438850532,0.20479908689777762,0.500987363905362,0.7614951620474147,0.07291242059540638,0.07183162448718788,0.031885208080808074,0.11941068849857593
baseline32,0.075,fixed horizon 25,10,0.6229111325996701,0.0950740481615377,0.570172277168252,0.6865311685796744,0.08249238773740207,0.09877958403547052,0.025600537891986064,0.14790681159267954,0.13477959104226853,0.11487914490361349,0.07010784313725489,0.21104414838035526,0.5261436016524332,0.01849248778746258,0.5149616154981788,0.5376681309647938,0.3180284045417552,0.09781263266386356,0.253033221296596,0.3824745062898777,0.9060059077591329,0.08062415858412106,0.8540183403610138,0.9527255326797386,0.6819715954582448,0.09781263266386356,0.6190991493295067,0.7455531665954471,0.09399409224086706,0.08062415858412106,0.0464905096912328,0.14806936259143152
