model,cp_seed,alpha,eval_time,roc_auc_max_score_macro,realized_fpr_macro,catch_rate_macro,balanced_accuracy_macro,caught_alarm_fraction_macro,effective_alarm_fraction_macro,caught_lead_fraction_macro,effective_lead_fraction_macro
lstm,8,0.1,by earliest stop,0.6517104515167393,0.18878063844939635,0.3120813526492924,0.561650357099948,0.6134626832399788,0.8590066246119814,0.38653731676002134,0.1409933753880186
lstm,9,0.1,by earliest stop,0.6517104515167393,0.2032189872165909,0.37059241628303197,0.5836867145332205,0.611985011771151,0.8285001992827228,0.38801498822884894,0.1714998007172772
lstm,0,0.15,by earliest stop,0.6517104515167393,0.26776875375065373,0.47957134956803565,0.605901297908691,0.6248345250547092,0.7840358124423604,0.37516547494529084,0.2159641875576396
lstm,1,0.15,by earliest stop,0.6517104515167393,0.2903820853144371,0.41443205350020945,0.5620249840928861,0.5821705919308204,0.8383460610588205,0.41782940806917956,0.16165393894117952
lstm,2,0.15,by earliest stop,0.6517104515167393,0.2456170102300168,0.42063340749376144,0.5875081986318723,0.5418242215413274,0.7734805423857753,0.45817577845867263,0.2265194576142246
lstm,3,0.15,by earliest stop,0.6517104515167393,0.21907756156657804,0.4598459308676646,0.6203841846505432,0.6315793673462862,0.8264584815192173,0.3684206326537139,0.1735415184807827
lstm,4,0.15,by earliest stop,0.6517104515167393,0.204319391734247,0.3562974606828917,0.5759890344743224,0.48811676615932065,0.815211104424766,0.5118832338406794,0.1847888955752341
lstm,5,0.15,by earliest stop,0.6517104515167393,0.3246852826456689,0.4840293598931602,0.5796720386237457,0.6371318356547064,0.8064095876593816,0.36286816434529356,0.1935904123406184
lstm,6,0.15,by earliest stop,0.6517104515167393,0.3068072837630961,0.5013675378220132,0.5972801270294585,0.629727731962184,0.7795386706605356,0.37027226803781604,0.22046132933946444
lstm,7,0.15,by earliest stop,0.6517104515167393,0.31051864028802934,0.5015053279854573,0.595493343848714,0.5345273935779391,0.7373554873442817,0.46547260642206095,0.2626445126557183
lstm,8,0.15,by earliest stop,0.6517104515167393,0.2613673208765043,0.4034330615765459,0.5710328703500208,0.5170261199087249,0.7982513671094505,0.482973880091275,0.20174863289054948
lstm,9,0.15,by earliest stop,0.6517104515167393,0.29778926236526115,0.4887527556073444,0.5954817466210416,0.6349544684147598,0.7724579271543661,0.3650455315852402,0.22754207284563388
lstm,0,0.2,by earliest stop,0.6517104515167393,0.34211825549458996,0.5558450164319583,0.6068633804686842,0.5917918905446932,0.7316232902491395,0.40820810945530683,0.2683767097508604
lstm,1,0.2,by earliest stop,0.6517104515167393,0.39042736494827773,0.6242350960181718,0.6169038655349471,0.6439224034734017,0.7604056728470744,0.3560775965265983,0.23959432715292558
lstm,2,0.2,by earliest stop,0.6517104515167393,0.3942673418007752,0.5633591847360598,0.5845459214676423,0.5798364956683649,0.7310077339627549,0.4201635043316351,0.26899226603724513
lstm,3,0.2,by earliest stop,0.6517104515167393,0.3651253105023403,0.54989223286799,0.5923834611828249,0.5817555273952422,0.7646780868591578,0.41824447260475783,0.23532191314084208
